frame = 0
2.6861e-02 + i -1.3901e-02
-2.7209e-02 + i 1.8167e-02
3.4866e-02 + i -2.9466e-02
-1.9508e-02 + i 4.1611e-02
1.1867e-02 + i -3.4809e-02
-8.0457e-03 + i 2.7665e-02
1.5496e-02 + i -2.4778e-02
-1.6323e-02 + i 2.6787e-02
2.6217e-02 + i -2.9024e-02
-2.4716e-02 + i 3.1015e-02
3.2185e-02 + i -3.1050e-02
-2.4324e-02 + i 3.4761e-02
3.0966e-02 + i -3.3268e-02
-2.0687e-02 + i 4.7392e-02
3.9173e-03 + i -3.4954e-02
-1.1599e-02 + i 9.5856e-03
4.0158e-02 + i -2.1470e-02
-7.0340e-03 + i 4.2658e-02
-1.4411e-02 + i -1.3244e-02
1.2756e-02 + i -2.4187e-05
-3.4155e-03 + i -1.7066e-03
1.7214e-02 + i 1.2535e-02
-1.2481e-02 + i -6.6964e-03
1.3167e-02 + i 2.0806e-02
-5.4343e-03 + i -4.2074e-03
-1.0602e-02 + i 1.4211e-04
1.7582e-02 + i -6.0684e-04
3.2965e-03 + i 1.2322e-02
-4.9680e-03 + i 7.8845e-03
-4.3070e-03 + i 4.5307e-03
-6.8224e-03 + i 5.3642e-03
8.6294e-03 + i -1.4366e-02
-3.3766e-03 + i 2.8913e-02
8.2200e-03 + i -1.9700e-02
-2.2728e-02 + i 4.1656e-02
-3.2453e-03 + i -2.8353e-02
3.0755e-03 + i -1.0634e-02
9.5396e-03 + i 1.9388e-02
-2.9200e-03 + i 5.6509e-03
-1.9385e-03 + i -5.4619e-03
-7.0563e-03 + i 2.0184e-02
-7.5028e-03 + i -1.4229e-02
7.8129e-03 + i 4.2712e-03
1.6643e-03 + i 1.3805e-02
-1.8107e-02 + i -7.6816e-03
6.3170e-03 + i 2.4721e-02
-1.4402e-02 + i -2.1105e-02
-2.7706e-02 + i 6.3825e-03
5.7809e-02 + i -2.3913e-02
-5.1467e-02 + i 5.0736e-02
8.6615e-03 + i -2.2092e-02
-4.3071e-02 + i -3.5155e-02
6.6797e-02 + i 2.6690e-02
-2.8066e-02 + i -1.0064e-02
-3.7844e-02 + i -1.7371e-02
6.9748e-02 + i 5.4122e-02
-3.5580e-02 + i -1.0107e-01
-1.2880e-02 + i 1.3177e-01
2.6386e-02 + i -9.3678e-02
-4.3818e-02 + i 2.9559e-02
frame = 3
8.1018e-03 + i 0.0000e+00
3.2346e-04 + i -2.5802e-02
